7.149669632815870424e-01,3.011363636363636243e+00,2.201469242572779095e+00
6.183134063549236004e-01,2.727272727272727071e+00,0.000000000000000000e+00
6.745960808465427672e-01,3.068181818181817899e+00,1.817980408668512515e+00
7.473006316591969123e-01,2.727272727272727071e+00,2.393217384815210735e+00
7.477781025233927181e-01,3.181818181818181657e+00,2.009728550910944378e+00

4.978383489114930893e-01,2.840909090909090828e+00,1.715778708457946067e+01
2.072395442320155157e-01,1.136363636363636243e+00,0.000000000000000000e+00
1.335816256492722842e-01,1.306818181818181879e+00,0.000000000000000000e+00
3.637718913289200717e-01,1.477272727272727293e+00,3.927202522754663860e+00
2.931337036662168827e-01,1.477272727272727293e+00,5.461180210113520062e+00

9.735956935800316181e-01,4.034090909090909172e+00,3.633254170417784934e+01
3.729520492583828783e-01,1.761363636363636243e+00,1.945875734090804343e+01
2.613485083619412896e-01,1.704545454545454586e+00,7.953898608684534466e+00
9.742277219832508328e-02,8.522727272727272929e-01,6.995165348052973187e+00
1.212084758021815811e-01,1.022727272727272707e+00,2.009728550910944378e+00

1.620114203593507440e+00,1.000000000000000000e+01,5.052187442779539595e+01
5.690255713473986177e-01,2.727272727272727071e+00,3.594904541969298606e+01
2.164947899906136397e-01,1.477272727272727293e+00,2.482769042253493552e+01
1.617659043265223806e-01,1.363636363636363535e+00,1.447332054376601640e+01
1.732534993770371012e-01,6.818181818181817677e-01,7.953898608684534466e+00

2.092293846031784810e+00,1.000000000000000000e+01,6.145148873329161177e+01
9.693966548955299523e-01,4.943181818181818343e+00,4.879614114761351829e+01
5.471788745826640099e-01,2.159090909090909172e+00,3.825002312660216575e+01
1.955554202730062641e-01,1.306818181818181879e+00,2.885439395904540305e+01
2.882344879376919633e-01,1.193181818181818121e+00,1.926700919866561179e+01

2.678913480542688852e+00,1.000000000000000000e+01,7.046362161636351118e+01
1.233088193223221829e+00,4.488636363636363313e+00,5.857526659965513716e+01
6.144671213465804360e-01,3.011363636363636243e+00,4.879614114761351829e+01
4.193564267032431903e-01,1.931818181818181657e+00,4.035925269126891379e+01
2.571276117458726751e-01,1.875000000000000000e+00,3.077186048030852561e+01


5.279288497899692345e-01,2.784090909090909172e+00,0.000000000000000000e+00
7.267374058892913657e-01,2.727272727272727071e+00,1.817980408668512515e+00
6.998273766838208898e-01,3.125000000000000000e+00,0.000000000000000000e+00
7.580641794118507804e-01,2.727272727272727071e+00,1.338610053062433414e+00
7.355217986224484861e-01,3.125000000000000000e+00,8.592396974563543122e-01

9.564349621395806800e-01,3.181818181818181657e+00,7.474528253078455364e+00
1.472813783074963245e-01,1.136363636363636243e+00,0.000000000000000000e+00
